Date,Action,Ticker,Quantity,Price,Cash
2021-08-31,SELL,CSCO,1,59.130001068115234,64.9259934425354
2021-08-31,SELL,NVDA,13968,22.687999725341797,316970.90615701675
2021-08-31,BUY,INTC,5876,53.939998626708984,19.474226474761963
2021-09-30,SELL,NVDA,9583,20.517000198364258,196633.88712739944
2021-09-30,BUY,INTC,3676,53.4900016784668,4.640957355499268
2021-10-28,SELL,INTC,11367,47.88999938964844,544370.2640194893
2021-10-29,SELL,NVDA,13486,24.94099998474121,880724.5898137093
2021-10-29,BUY,INTC,18317,48.08000183105469,43.196274280548096
2021-11-30,SELL,NVDA,22532,33.375999450683594,752071.2158970833
2021-11-30,BUY,INTC,15041,50.0,21.21589708328247
2021-12-31,SELL,INTC,1473,51.7400016784668,76234.23836946487
2021-12-31,SELL,NVDA,12335,29.586000442504883,441177.5538277626
2021-12-31,BUY,AMZN,12,168.64450073242188,439153.81981897354
2021-12-31,BUY,CSCO,6902,63.619998931884766,48.587191104888916
2022-01-21,SELL,AMZN,12,151.66749572753906,1868.5971398353577
2022-01-22,SELL,CSCO,6902,56.68000030517578,393073.9592461586
2022-01-31,SELL,INTC,3711,47.72999954223633,570199.9875473976
2022-01-31,SELL,NVDA,4503,22.84000015258789,673048.5082345009
2022-01-31,BUY,AMZN,160,143.97799682617188,650012.0287423134
2022-01-31,BUY,CSCO,11687,55.61000061035156,97.95160913467407
2022-02-23,SELL,INTC,28174,44.689998626708984,1259193.9729180336
2022-02-28,SELL,AMZN,159,153.7884979248047,1283646.3440880775
2022-02-28,SELL,NVDA,3621,24.156999588012695,1371118.8395962715
2022-02-28,BUY,CSCO,3491,56.040000915527344,1175483.1964001656
2022-02-28,BUY,INTC,24638,47.709999084472656,4.238956928253174
2022-03-31,SELL,INTC,2085,51.43000030517578,107235.78959321976
2022-03-31,SELL,NVDA,4155,27.690000534057617,222287.74181222916
2022-03-31,BUY,CSCO,3965,56.04999923706055,49.494837284088135
2022-04-28,SELL,CSCO,19143,49.310001373291016,943990.851126194
2022-04-29,BUY,AAPL,185,163.63999938964844,913717.451239109
2022-04-29,BUY,CSCO,10615,50.630001068115234,376279.9899010658
2022-04-29,BUY,INTC,4009,46.84000015258789,188498.42928934097
2022-04-29,BUY,NVDA,9528,19.781999588012695,15.537214756011963
2022-04-30,SELL,AMZN,1,124.28150177001953,139.8187165260315
2022-05-10,SELL,NVDA,30402,16.950000762939453,515453.7419114113
2022-05-12,SELL,AAPL,185,146.5,542556.2419114113
2022-05-20,SELL,INTC,26562,42.0099983215332,1658425.8173279762
2022-05-20,SELL,CSCO,10615,41.720001220703125,2101283.63028574
2022-05-31,BUY,CSCO,1129,45.619998931884766,2049778.651491642
2022-05-31,BUY,INTC,24759,44.54999923706055,946765.2203812599
